来源,reason,原始相对路径,duration_sec,rms
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326010012760000000005_333_2790119.wav,5.1,0.10932
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363171810000000000_333_2786096.wav,4.84,0.10388
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026200000000009_333_2788604.wav,5.23,0.12255
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363060460000000005_333_2782282.wav,4.97,0.12621
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009025620000000001_333_2788316.wav,5.29,0.14695
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009026270000000006_333_2788657.wav,4.97,0.11968
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363172650000000004_333_2786459.wav,5.27,0.14921
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009014380000000007_333_2787633.wav,5.1,0.12014
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363136290000000008_333_2783515.wav,5.01,0.13682
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363160810000000000_333_2784818.wav,4.87,0.10935
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363180050000000004_333_2787107.wav,4.96,0.15061
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009023090000000008_333_2788127.wav,5.1,0.10706
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009023270000000006_333_2788199.wav,5.01,0.1382
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009034060000000005_333_2789281.wav,5.14,0.10729
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363170730000000002_333_2785940.wav,5.05,0.09841
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363080850000000004_333_2782458.wav,4.99,0.09189
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009018800000000009_333_2787732.wav,5.29,0.11893
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363169690000000008_333_2785832.wav,5.16,0.18409
input,no_matching_baseline: 无匹配的基准组，数据类型不匹配,zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260325363136400000000009_333_2783584.wav,4.97,0.11601
