来源,检测项,reason,原始相对路径,复制为,duration_sec,rms,peak_abs,clipping_ratio,frame_rms_mean,frame_rms_cv,frame_rms_p50,frame_rms_p99,pre_silence_sec,post_silence_sec,late_start_ratio,zcr
input,clipped,"clipped: peak=1.000, ratio=0.0026, rms=0.30714",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363168270000000006_333_2785526.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363168270000000006_333_2785526.wav,2.8,0.30714,1.0,0.00262,0.27052,0.538,0.17639,0.44524,0.0,0.0,0.3844,0.8814
input,clipped,"clipped: peak=1.000, ratio=0.0283, rms=0.40414",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363172070000000006_333_2786215.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363172070000000006_333_2786215.wav,2.73,0.40414,1.0,0.02829,0.3708,0.442,0.26485,0.55642,0.0,0.0,0.4522,0.8843
input,clipped,"clipped: peak=1.000, ratio=0.0064, rms=0.29365",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260325363177480000000007_333_2787020.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260325363177480000000007_333_2787020.wav,2.67,0.29365,1.0,0.00638,0.25508,0.598,0.21229,0.42702,0.0,0.0,0.4057,0.8116
input,clipped,"clipped: peak=1.000, ratio=0.0020, rms=0.33701",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260326009018820000000001_333_2787753.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260326009018820000000001_333_2787753.wav,2.92,0.33701,1.0,0.00196,0.29728,0.541,0.18205,0.49288,0.0,0.0,0.5497,0.8857
input,clipped,"clipped: peak=1.000, ratio=0.0010, rms=0.28500",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260326009023110000000000_333_2788139.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260326009023110000000000_333_2788139.wav,2.65,0.285,1.0,0.00102,0.25717,0.499,0.17794,0.40014,0.0,0.0,0.5507,0.8427
input,clipped,"clipped: peak=1.000, ratio=0.0034, rms=0.39407",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260326009025830000000002_333_2788436.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260326009025830000000002_333_2788436.wav,2.42,0.39407,1.0,0.00344,0.33953,0.597,0.36445,0.54743,0.0,0.0,0.3033,0.8784
input,clipped,"clipped: peak=1.000, ratio=0.0013, rms=0.28253",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段2/260326009026080000000007_333_2788544.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段2__260326009026080000000007_333_2788544.wav,2.71,0.28253,1.0,0.00128,0.25369,0.494,0.14828,0.39955,0.0,0.0,0.4651,0.8715
input,clipped,"clipped: peak=1.000, ratio=0.0015, rms=0.28999",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260325363029620000000001_333_2781737.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260325363029620000000001_333_2781737.wav,2.4,0.28999,1.0,0.0015,0.25451,0.546,0.18859,0.41888,0.0,0.0,0.3722,0.7947
input,clipped,"clipped: peak=1.000, ratio=0.0016, rms=0.29379",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260325363047820000000001_333_2781973.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260325363047820000000001_333_2781973.wav,2.45,0.29379,1.0,0.00155,0.26143,0.533,0.16484,0.42698,0.0,0.0,0.4611,0.8364
input,clipped,"clipped: peak=1.000, ratio=0.0033, rms=0.29234",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260325363165610000000000_333_2784991.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260325363165610000000000_333_2784991.wav,2.5,0.29234,1.0,0.00328,0.2553,0.558,0.16343,0.42295,0.0,0.0,0.3791,0.8123
input,clipped,"clipped: peak=1.000, ratio=0.0030, rms=0.28145",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260325363167830000000002_333_2785437.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260325363167830000000002_333_2785437.wav,2.65,0.28145,1.0,0.00295,0.23137,0.711,0.10003,0.43158,0.0,0.0,0.3762,0.7732
input,clipped,"clipped: peak=1.000, ratio=0.0090, rms=0.32559",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260325363172030000000002_333_2786182.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260325363172030000000002_333_2786182.wav,2.45,0.32559,1.0,0.00904,0.29356,0.498,0.1861,0.46399,0.0,0.0,0.4633,0.8431
input,clipped,"clipped: peak=1.000, ratio=0.0023, rms=0.32911",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260325363172070000000006_333_2786219.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260325363172070000000006_333_2786219.wav,2.46,0.32911,1.0,0.00228,0.3185,0.291,0.27324,0.42762,0.0,0.0,0.7905,0.8925
input,clipped,"clipped: peak=1.000, ratio=0.0011, rms=0.30729",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260326009022560000000005_333_2787922.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260326009022560000000005_333_2787922.wav,2.35,0.30729,1.0,0.00105,0.26418,0.615,0.11692,0.44423,0.0,0.0,0.376,0.8255
input,clipped,"clipped: peak=1.000, ratio=0.0341, rms=0.39514",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260326009025830000000002_333_2788439.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260326009025830000000002_333_2788439.wav,2.45,0.39514,1.0,0.03407,0.33779,0.628,0.2224,0.58094,0.0,0.0,0.3805,0.8905
input,clipped,"clipped: peak=1.000, ratio=0.0061, rms=0.30308",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260326009025960000000005_333_2788511.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260326009025960000000005_333_2788511.wav,2.44,0.30308,1.0,0.00609,0.27153,0.515,0.21154,0.43321,0.0,0.0,0.5913,0.8261
input,clipped,"clipped: peak=1.000, ratio=0.0154, rms=0.36222",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260326009033330000000002_333_2789091.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260326009033330000000002_333_2789091.wav,2.45,0.36222,1.0,0.01542,0.30227,0.68,0.22899,0.53909,0.0,0.0,0.247,0.8494
input,clipped,"clipped: peak=1.000, ratio=0.0043, rms=0.31803",zass/train_input/2026-03-09_分类/160-20震动触感器/阶段3/260326010012850000000004_333_2790155.wav,input__zass__train_input__2026-03-09_分类__160-20震动触感器__阶段3__260326010012850000000004_333_2790155.wav,2.61,0.31803,1.0,0.00428,0.28742,0.478,0.24473,0.43939,0.0,0.0,0.8149,0.8424
input,clipped,"clipped: peak=1.000, ratio=0.0033, rms=0.23634",zass/train_input/2026-03-09_分类/165-20震动触感器/阶段1/260326009010880000000007_333_2787388.wav,input__zass__train_input__2026-03-09_分类__165-20震动触感器__阶段1__260326009010880000000007_333_2787388.wav,5.16,0.23634,1.0,0.00329,0.19985,0.644,0.15429,0.4621,0.0,0.0,0.4271,0.7981
input,clipped,"clipped: peak=1.000, ratio=0.0013, rms=0.28735",zass/train_input/2026-03-09_分类/165-20震动触感器/阶段2/260325363022050000000004_333_2781630.wav,input__zass__train_input__2026-03-09_分类__165-20震动触感器__阶段2__260325363022050000000004_333_2781630.wav,2.35,0.28735,1.0,0.00134,0.24399,0.645,0.36801,0.40192,0.0,0.0,0.2586,0.7568
input,clipped,"clipped: peak=1.000, ratio=0.0016, rms=0.32968",zass/train_input/2026-03-09_分类/165-20震动触感器/阶段2/260325363149270000000006_333_2784209.wav,input__zass__train_input__2026-03-09_分类__165-20震动触感器__阶段2__260325363149270000000006_333_2784209.wav,2.49,0.32968,1.0,0.00162,0.29345,0.548,0.32607,0.45861,0.0,0.0,0.3322,0.8707
input,clipped,"clipped: peak=1.000, ratio=0.0057, rms=0.32629",zass/train_input/2026-03-09_分类/165-20震动触感器/阶段2/260326009010880000000007_333_2787391.wav,input__zass__train_input__2026-03-09_分类__165-20震动触感器__阶段2__260326009010880000000007_333_2787391.wav,2.6,0.32629,1.0,0.00567,0.27548,0.635,0.20073,0.4717,0.0,0.0,0.2901,0.8041
input,clipped,"clipped: peak=1.000, ratio=0.0020, rms=0.31920",zass/train_input/2026-03-09_分类/165-20震动触感器/阶段2/260326010016750000000004_333_2790546.wav,input__zass__train_input__2026-03-09_分类__165-20震动触感器__阶段2__260326010016750000000004_333_2790546.wav,2.66,0.3192,1.0,0.00197,0.27964,0.575,0.17875,0.4632,0.0,0.0,0.5131,0.8307
input,clipped,"clipped: peak=1.000, ratio=0.0057, rms=0.30068",zass/train_input/2026-03-09_分类/165-20震动触感器/阶段3/260325363168220000000001_333_2785510.wav,input__zass__train_input__2026-03-09_分类__165-20震动触感器__阶段3__260325363168220000000001_333_2785510.wav,2.46,0.30068,1.0,0.0057,0.25275,0.668,0.16073,0.44598,0.0,0.0,0.2833,0.8341
